Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Sensory Perception of Smell (GO:0007608)	98/214	2.1452776179037228E-6	0.001400866284491131	0	0	1.9240573932016931	25.113261925944293	OR8I2;OR1C1;OR2M7;OR2M5;OR1K1;OR2M2;OR2T10;OR2T11;OR5D18;OR5B3;OR5D16;OR5B2;OR5D14;OR5D13;OR8H3;OR8H2;OR8H1;OR2L5;OR2L2;OR2T8;OR2T7;OR10AD1;OR2T6;OR2T5;OR2T3;OR13C9;OR8G5;OR13C3;OR5AK2;OR13C2;OR13C5;OR13C4;OR9I1;OR6K6;OR2C1;OR6K2;OR52D1;OR5M10;OR2S2;OR10D3;OR2B6;OR6B1;OR2A25;OR2B3;OR10K2;OR2B2;OR10K1;OR8B12;OR51I2;OR5B21;OR2J3;OR2J2;OR2J1;OR2AJ1;OR2Z1;OR9G4;OR2A5;OR10J1;OR4E2;OR4E1;OR10AG1;OR6Q1;OR5B12;OR8D4;OR5B17;OR8D1;OR4D1;OR5F1;OR10A2;OR10A5;OR2G6;OR5M9;OR10H1;OR5M8;OR2G3;OR2G2;OR10H4;OR5M1;OR10P1;OR2T34;OR2AG2;OR8B4;OR5AN1;OR13F1;OR8B3;OR12D3;OR8B2;OR2F2;OR10G4;OR5L2;OR6N2;OR6N1;OR5T3;OR5T2;OR2V1;OR10G8;OR10G7;OR10G9
Detection of Chemical Stimulus Involved in Sensory Perception of Smell (GO:0050911)	62/132	5.949032350752398E-5	0.014419882314241437	0	0	2.011926324951189	19.57543330430007	OR10J1;OR4E2;OR4E1;OR2M7;OR2M5;OR1K1;OR2M2;OR10AG1;OR6Q1;OR2T10;OR2T11;OR2L5;OR2L2;OR2T8;OR2T7;OR10AD1;OR2T6;OR2T5;OR2T3;OR13C9;OR10A2;OR13C3;OR13C2;OR13C5;OR13C4;OR10A5;OR6K6;OR2G6;OR2C1;OR10H1;OR2G3;OR6K2;OR2G2;OR10H4;OR10P1;OR2T34;OR2S2;OR2AG2;OR10D3;OR13F1;OR12D3;OR2B6;OR6B1;OR2A25;OR2B3;OR10K2;OR2B2;OR10K1;OR2F2;OR10G4;OR2J3;OR2J2;OR6N2;OR2J1;OR6N1;OR2AJ1;OR2V1;OR2Z1;OR10G8;OR10G7;OR2A5;OR10G9
Detection of Chemical Stimulus Involved in Sensory Perception (GO:0050907)	63/135	6.624754508839864E-5	0.014419882314241437	0	0	1.9876276350461133	19.125176014972595	OR10J1;OR4E2;OR4E1;OR2M7;OR2M5;OR1K1;OR2M2;OR10AG1;OR6Q1;OR2T10;OR2T11;OR2L5;OR2L2;OR2T8;OR2T7;OR10AD1;OR2T6;OR2T5;OR2T3;OR13C9;OR10A2;OR13C3;OR13C2;OR13C5;OR13C4;OR10A5;OR6K6;OR2G6;OR2C1;OR10H1;OR2G3;OR6K2;OR2G2;OR10H4;OR10P1;OR2T34;OR2S2;OR2AG2;OR10D3;OR13F1;OR5AN1;OR12D3;OR2B6;OR6B1;OR2A25;OR2B3;OR10K2;OR2B2;OR10K1;OR2F2;OR10G4;OR2J3;OR2J2;OR6N2;OR2J1;OR6N1;OR2AJ1;OR2V1;OR2Z1;OR10G8;OR10G7;OR2A5;OR10G9
Sensory Perception of Chemical Stimulus (GO:0007606)	40/100	0.029529191258029053	0.9999966098781564	0	0	1.50998085862729	5.31872029269417	OR10J1;OR8I2;OR9I1;OR5M9;OR5M8;OR1C1;OR52D1;OR5M1;OR2S2;OR5M10;OR5D18;OR8B4;OR5AN1;OR8B3;OR5B12;OR8D4;OR8B2;OR5B3;OR5D16;OR5B2;OR5B17;OR8D1;OR5D14;OR5D13;OR8H3;OR8H2;OR8H1;OR4D1;OR1D4;OR8B12;OR5F1;OR51I2;OR5B21;OR5L2;OR5T3;OR5T2;OR8G5;OR9G4;OR5AK2;OR10A5
Translational Readthrough (GO:0006451)	2/6	0.5943199550706617	0.9999966098781564	0	0	1.1300342409913582	0.5879991463726841	SARS1;SELENOT
Selenocysteine Incorporation (GO:0001514)	2/6	0.5943199550706617	0.9999966098781564	0	0	1.1300342409913582	0.5879991463726841	SARS1;SELENOT
Positive Regulation of Growth Hormone Secretion (GO:0060124)	1/5	0.8399131594239692	0.9999966098781564	0	0	0.5649250081512879	0.09855499454583302	SELENOT
Type IIa Hypersensitivity (GO:0001794)	1/5	0.8399131594239692	0.9999966098781564	0	0	0.5649250081512879	0.09855499454583302	FCGR2C
Glycoside Catabolic Process (GO:0016139)	1/5	0.8399131594239692	0.9999966098781564	0	0	0.5649250081512879	0.09855499454583302	GBA3
Glycosyl Compound Catabolic Process (GO:1901658)	1/5	0.8399131594239692	0.9999966098781564	0	0	0.5649250081512879	0.09855499454583302	GBA3
Glycosylceramide Catabolic Process (GO:0046477)	1/5	0.8399131594239692	0.9999966098781564	0	0	0.5649250081512879	0.09855499454583302	GBA3
Glycosylceramide Metabolic Process (GO:0006677)	1/5	0.8399131594239692	0.9999966098781564	0	0	0.5649250081512879	0.09855499454583302	GBA3
Heat Acclimation (GO:0010286)	1/5	0.8399131594239692	0.9999966098781564	0	0	0.5649250081512879	0.09855499454583302	HSBP1L1
Antibody-Dependent Cellular Cytotoxicity (GO:0001788)	1/5	0.8399131594239692	0.9999966098781564	0	0	0.5649250081512879	0.09855499454583302	FCGR2C
Cellular Heat Acclimation (GO:0070370)	1/5	0.8399131594239692	0.9999966098781564	0	0	0.5649250081512879	0.09855499454583302	HSBP1L1
Regulation of ATPase-coupled Calcium Transmembrane Transporter Activity (GO:1901894)	1/5	0.8399131594239692	0.9999966098781564	0	0	0.5649250081512879	0.09855499454583302	STRIT1
Diadenosine Polyphosphate Catabolic Process (GO:0015961)	1/5	0.8399131594239692	0.9999966098781564	0	0	0.5649250081512879	0.09855499454583302	NUDT4B
Positive Regulation of mRNA Splicing, via Spliceosome (GO:0048026)	5/23	0.878897069061152	0.9999966098781564	0	0	0.6274696392967193	0.08099847965725661	RBMY1F;RBMY1E;RBMY1D;RBMY1C;RBMY1B
Enteroendocrine Cell Differentiation (GO:0035883)	1/6	0.8890316634552426	0.9999966098781564	0	0	0.4519074013694164	0.05315444540401451	PERCC1
Regulation of Growth Hormone Secretion (GO:0060123)	1/6	0.8890316634552426	0.9999966098781564	0	0	0.4519074013694164	0.05315444540401451	SELENOT
Glucan Catabolic Process (GO:0009251)	1/6	0.8890316634552426	0.9999966098781564	0	0	0.4519074013694164	0.05315444540401451	STBD1
Regulation of Muscle Organ Development (GO:0048634)	1/6	0.8890316634552426	0.9999966098781564	0	0	0.4519074013694164	0.05315444540401451	DCANP1
Insulin Secretion Involved in Cellular Response to Glucose Stimulus (GO:0035773)	1/6	0.8890316634552426	0.9999966098781564	0	0	0.4519074013694164	0.05315444540401451	SELENOT
Regulation of Relaxation of Muscle (GO:1901077)	1/6	0.8890316634552426	0.9999966098781564	0	0	0.4519074013694164	0.05315444540401451	DCANP1
Negative Regulation of Axon Regeneration (GO:0048681)	1/6	0.8890316634552426	0.9999966098781564	0	0	0.4519074013694164	0.05315444540401451	FIGNL2
Enamel Mineralization (GO:0070166)	1/6	0.8890316634552426	0.9999966098781564	0	0	0.4519074013694164	0.05315444540401451	AMELY
Skeletal Muscle Tissue Regeneration (GO:0043403)	2/11	0.8957770035903572	0.9999966098781564	0	0	0.502056271174158	0.055258209423982636	MYMX;HDGFL2
3'-UTR-mediated mRNA Stabilization (GO:0070935)	4/20	0.9042613399757905	0.9999966098781564	0	0	0.5647121187408253	0.05683085865563411	DAZ4;DAZ3;DAZ2;DAZ1
Positive Regulation of Translational Initiation (GO:0045948)	4/20	0.9042613399757905	0.9999966098781564	0	0	0.5647121187408253	0.05683085865563411	DAZ4;DAZ3;DAZ2;DAZ1
Galactosylceramide Metabolic Process (GO:0006681)	1/7	0.9230809588425001	0.9999966098781564	0	0	0.37656233018150204	0.03013942215878545	GBA3
Negative Regulation of Neuron Projection Regeneration (GO:0070571)	1/7	0.9230809588425001	0.9999966098781564	0	0	0.37656233018150204	0.03013942215878545	FIGNL2
Oligosaccharide Catabolic Process (GO:0009313)	1/7	0.9230809588425001	0.9999966098781564	0	0	0.37656233018150204	0.03013942215878545	GBA3
Protein Localization to Golgi Membrane (GO:1903292)	1/7	0.9230809588425001	0.9999966098781564	0	0	0.37656233018150204	0.03013942215878545	RAB6D
Regulation of CD4-positive, Alpha-Beta T Cell Activation (GO:2000514)	1/7	0.9230809588425001	0.9999966098781564	0	0	0.37656233018150204	0.03013942215878545	HLA-DRB3
Centromeric Sister Chromatid Cohesion (GO:0070601)	1/7	0.9230809588425001	0.9999966098781564	0	0	0.37656233018150204	0.03013942215878545	MEIKIN
Positive Regulation of mRNA Processing (GO:0050685)	5/26	0.9363106035284544	0.9999966098781564	0	0	0.5377145964421658	0.035385930860287365	RBMY1F;RBMY1E;RBMY1D;RBMY1C;RBMY1B
MHC Class II Protein Complex Assembly (GO:0002399)	2/13	0.9423764157901545	0.9999966098781564	0	0	0.4107140210189289	0.024376079254720327	HLA-DRB4;HLA-DRB3
Peptide Antigen Assembly With MHC Class II Protein Complex (GO:0002503)	2/13	0.9423764157901545	0.9999966098781564	0	0	0.4107140210189289	0.024376079254720327	HLA-DRB4;HLA-DRB3
