Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CD22 Mediated BCR Regulation	63/70	3.6813927829444E-25	1.5682733255343143E-22	0	0	20.540513833992094	1155.6367539320584	IGHV1-2;IGHV3-23;IGHV4-34;IGHV1-46;IGHV4-39;IGLV;IGHV;IGLV2-8;IGKV1-16;IGKV2-29;IGKV1-17;IGKV2-28;IGKV1-12;IGLC3;IGLC1;IGLC2;IGHV3-7;IGHV3-9;IGHV3-30;IGHV3-33;IGKV3D-20;IGKV1D-39;IGKV1D-33;IGKV2D-28;IGHD;IGKV4-1;IGHV7-81;IGKV2-30;IGLV3-19;IGHV2-70;IGHV2-5;IGKV2D-30;IGHV4-59;IGHV3-48;IGLV3-1;IGHV1-69;IGLV2-11;IGLV3-25;IGLV1-40;IGLV3-27;IGKC;IGLV1-47;IGLV6-57;IGKV1-39;IGLV2-14;IGLV3-21;IGLV1-44;IGKV3-15;IGKV1-33;IGKV3-11;IGHV3-53;IGLC7;IGKV2D-40;IGKV5-2;IGKV1-5;IGLC6;IGHV3-13;IGKV1D-16;IGLV7-43;IGKV1D-12;IGLV1-51;IGLV2-23;IGKV3-20
Classical Antibody-Mediated Complement Activation	69/88	3.0211873869432006E-20	6.435129134189017E-18	0	0	8.289291477953043	372.57092524161465	IGHV1-2;IGHV3-23;IGHV4-34;IGHV1-46;IGHV4-39;IGLV;IGHV;IGLV4-60;IGHG3;IGLV2-8;IGHG4;IGHG1;IGHG2;IGKV1-16;IGKV2-29;IGKV1-17;IGKV2-28;IGLV4-3;IGKV1-12;IGLC3;IGLC1;IGLC2;IGHV3-7;IGHV3-9;IGHV3-30;IGHV3-33;IGKV3D-20;IGKV1D-39;IGKV1D-33;IGKV2D-28;IGLV1-36;IGKV4-1;IGHV7-81;IGKV2-30;IGLV3-19;IGHV2-70;IGHV2-5;IGKV2D-30;IGHV4-59;IGHV3-48;IGLV3-1;IGHV1-69;IGLV2-11;IGLV3-25;IGLV1-40;IGLV3-27;IGKC;IGLV1-47;IGLV6-57;IGKV1-39;IGLV2-14;IGLV3-21;IGLV1-44;IGKV3-15;IGKV1-33;IGKV3-11;IGHV3-53;IGLC7;IGKV2D-40;IGKV5-2;IGKV1-5;IGLC6;IGHV3-13;IGKV1D-16;IGLV7-43;IGKV1D-12;IGLV1-51;IGLV2-23;IGKV3-20
FCGR Activation	69/94	1.639079295123249E-17	2.3274925990750135E-15	0	0	6.297131552917903	243.38295004319653	IGHV1-2;IGHV3-23;IGHV4-34;IGHV1-46;IGHV4-39;IGLV;IGHV;IGLV4-60;IGHG3;IGLV2-8;IGHG4;IGHG1;IGHG2;IGKV1-16;IGKV2-29;IGKV1-17;IGKV2-28;IGLV4-3;IGKV1-12;IGLC3;IGLC1;IGLC2;IGHV3-7;IGHV3-9;IGHV3-30;IGHV3-33;IGKV3D-20;IGKV1D-39;IGKV1D-33;IGKV2D-28;IGLV1-36;IGKV4-1;IGHV7-81;IGKV2-30;IGLV3-19;IGHV2-70;IGHV2-5;IGKV2D-30;IGHV4-59;IGHV3-48;IGLV3-1;IGHV1-69;IGLV2-11;IGLV3-25;IGLV1-40;IGLV3-27;IGKC;IGLV1-47;IGLV6-57;IGKV1-39;IGLV2-14;IGLV3-21;IGLV1-44;IGKV3-15;IGKV1-33;IGKV3-11;IGHV3-53;IGLC7;IGKV2D-40;IGKV5-2;IGKV1-5;IGLC6;IGHV3-13;IGKV1D-16;IGLV7-43;IGKV1D-12;IGLV1-51;IGLV2-23;IGKV3-20
Scavenging of Heme From Plasma	67/92	9.522079303854734E-17	8.900690900549854E-15	0	0	6.112590639419908	225.49550626939646	IGHV1-2;IGHV3-23;IGHV4-34;IGHV1-46;IGHV4-39;IGLV;IGHV;IGLV4-60;IGLV2-8;IGKV1-16;IGKV2-29;IGKV1-17;IGKV2-28;IGLV4-3;IGKV1-12;IGLC3;IGLC1;IGLC2;IGHV3-7;IGHV3-9;IGHV3-30;IGHV3-33;IGKV3D-20;IGKV1D-39;IGKV1D-33;IGKV2D-28;IGLV1-36;IGKV4-1;IGHV7-81;IGKV2-30;IGLV3-19;IGHV2-70;IGHV2-5;IGKV2D-30;IGHV4-59;IGHV3-48;IGLV3-1;IGHV1-69;IGLV2-11;IGLV3-25;IGLV1-40;IGLV3-27;IGKC;IGLV1-47;IGLV6-57;IGKV1-39;IGLV2-14;IGLV3-21;IGLV1-44;IGKV3-15;IGKV1-33;IGHA1;IGKV3-11;IGHA2;IGHV3-53;IGLC7;IGKV2D-40;IGKV5-2;IGKV1-5;IGLC6;IGHV3-13;IGKV1D-16;IGLV7-43;IGKV1D-12;IGLV1-51;IGLV2-23;IGKV3-20
Creation of C4 and C2 Activators	69/96	1.0446820305809687E-16	8.900690900549854E-15	0	0	5.829834780378796	214.5242135434801	IGHV1-2;IGHV3-23;IGHV4-34;IGHV1-46;IGHV4-39;IGLV;IGHV;IGLV4-60;IGHG3;IGLV2-8;IGHG4;IGHG1;IGHG2;IGKV1-16;IGKV2-29;IGKV1-17;IGKV2-28;IGLV4-3;IGKV1-12;IGLC3;IGLC1;IGLC2;IGHV3-7;IGHV3-9;IGHV3-30;IGHV3-33;IGKV3D-20;IGKV1D-39;IGKV1D-33;IGKV2D-28;IGLV1-36;IGKV4-1;IGHV7-81;IGKV2-30;IGLV3-19;IGHV2-70;IGHV2-5;IGKV2D-30;IGHV4-59;IGHV3-48;IGLV3-1;IGHV1-69;IGLV2-11;IGLV3-25;IGLV1-40;IGLV3-27;IGKC;IGLV1-47;IGLV6-57;IGKV1-39;IGLV2-14;IGLV3-21;IGLV1-44;IGKV3-15;IGKV1-33;IGKV3-11;IGHV3-53;IGLC7;IGKV2D-40;IGKV5-2;IGKV1-5;IGLC6;IGHV3-13;IGKV1D-16;IGLV7-43;IGKV1D-12;IGLV1-51;IGLV2-23;IGKV3-20
Role of LAT2 NTAL LAB on Calcium Mobilization	66/95	7.367981937334991E-15	5.231267175507843E-13	0	0	5.188470520053864	168.84130114693423	IGHV1-2;IGHV3-23;IGHV4-34;IGHV1-46;IGHV4-39;IGLV;IGHV;IGLV4-60;IGLV2-8;IGKV1-16;IGKV2-29;IGKV1-17;IGKV2-28;IGLV4-3;IGKV1-12;IGLC3;IGLC1;IGLC2;IGHV3-7;IGHV3-9;IGHV3-30;IGHV3-33;IGKV3D-20;IGKV1D-39;IGKV1D-33;IGKV2D-28;IGLV1-36;IGKV4-1;IGHE;IGHV7-81;IGKV2-30;IGLV3-19;IGHV2-70;IGHV2-5;IGKV2D-30;IGHV4-59;IGHV3-48;IGLV3-1;IGHV1-69;IGLV2-11;IGLV3-25;IGLV1-40;IGLV3-27;IGKC;IGLV1-47;IGLV6-57;IGKV1-39;IGLV2-14;IGLV3-21;IGLV1-44;IGKV3-15;IGKV1-33;IGKV3-11;IGHV3-53;IGLC7;IGKV2D-40;IGKV5-2;IGKV1-5;IGLC6;IGHV3-13;IGKV1D-16;IGLV7-43;IGKV1D-12;IGLV1-51;IGLV2-23;IGKV3-20
Initial Triggering of Complement	69/104	6.631401728498936E-14	4.035681623343638E-12	0	0	4.494701144552777	136.38889748358005	IGHV3-23;IGHV1-2;IGHV4-34;IGLV;IGHV1-46;IGHV4-39;IGHV;IGLV4-60;IGHG3;IGLV2-8;IGHG4;IGHG1;IGHG2;IGKV1-16;IGKV2-29;IGKV1-17;IGKV2-28;IGLV4-3;IGKV1-12;IGLC3;IGLC1;IGLC2;IGHV3-7;IGHV3-9;IGHV3-30;IGHV3-33;IGKV3D-20;IGKV1D-39;IGKV1D-33;IGKV2D-28;IGLV1-36;IGKV4-1;IGHV7-81;IGKV2-30;IGLV3-19;IGHV2-70;IGHV2-5;IGKV2D-30;IGHV4-59;IGHV3-48;IGLV3-1;IGHV1-69;IGLV2-11;IGLV3-25;IGLV1-40;IGLV3-27;IGLV1-47;IGLV6-57;IGKC;IGLV2-14;IGKV1-39;IGLV3-21;IGLV1-44;IGKV3-15;IGKV1-33;IGKV3-11;IGHV3-53;IGLC7;IGKV2D-40;IGKV5-2;IGKV1-5;IGLC6;IGHV3-13;IGKV1D-16;IGLV7-43;IGKV1D-12;IGLV1-51;IGLV2-23;IGKV3-20
Role of Phospholipids in Phagocytosis	69/107	5.367078332740048E-13	2.8579692121840757E-11	0	0	4.138958300796502	116.93932377162793	IGHV3-23;IGHV1-2;IGHV4-34;IGLV;IGHV1-46;IGHV4-39;IGHV;IGLV4-60;IGHG3;IGLV2-8;IGHG4;IGHG1;IGHG2;IGKV1-16;IGKV2-29;IGKV1-17;IGKV2-28;IGLV4-3;IGKV1-12;IGLC3;IGLC1;IGLC2;IGHV3-7;IGHV3-9;IGHV3-30;IGHV3-33;IGKV3D-20;IGKV1D-39;IGKV1D-33;IGKV2D-28;IGLV1-36;IGKV4-1;IGHV7-81;IGKV2-30;IGLV3-19;IGHV2-70;IGHV2-5;IGKV2D-30;IGHV4-59;IGHV3-48;IGLV3-1;IGHV1-69;IGLV2-11;IGLV3-25;IGLV1-40;IGLV3-27;IGLV1-47;IGLV6-57;IGKC;IGLV2-14;IGKV1-39;IGLV3-21;IGLV1-44;IGKV3-15;IGKV1-33;IGKV3-11;IGHV3-53;IGLC7;IGKV2D-40;IGKV5-2;IGKV1-5;IGLC6;IGHV3-13;IGKV1D-16;IGLV7-43;IGKV1D-12;IGLV1-51;IGLV2-23;IGKV3-20
Antigen Activates B Cell Receptor (BCR) Leading to Generation of Second Messengers	63/95	8.343350878002621E-13	3.949186082254574E-11	0	0	4.4851315464426875	124.74111227081589	IGHV1-2;IGHV3-23;IGHV4-34;IGHV1-46;IGHV4-39;IGLV;IGHV;IGLV2-8;IGKV1-16;IGKV2-29;IGKV1-17;IGKV2-28;IGKV1-12;IGLC3;IGLC1;IGLC2;IGHV3-7;IGHV3-9;IGHV3-30;IGHV3-33;IGKV3D-20;IGKV1D-39;IGKV1D-33;IGKV2D-28;IGHD;IGKV4-1;IGHV7-81;IGKV2-30;IGLV3-19;IGHV2-70;IGHV2-5;IGKV2D-30;IGHV4-59;IGHV3-48;IGLV3-1;IGHV1-69;IGLV2-11;IGLV3-25;IGLV1-40;IGLV3-27;IGKC;IGLV1-47;IGLV6-57;IGKV1-39;IGLV2-14;IGLV3-21;IGLV1-44;IGKV3-15;IGKV1-33;IGKV3-11;IGHV3-53;IGLC7;IGKV2D-40;IGKV5-2;IGKV1-5;IGLC6;IGHV3-13;IGKV1D-16;IGLV7-43;IGKV1D-12;IGLV1-51;IGLV2-23;IGKV3-20
FCERI Mediated Ca+2 Mobilization	66/110	1.8232589757731958E-10	7.767083236793814E-9	0	0	3.4159663865546217	76.603816123058	IGHV3-23;IGHV1-2;IGHV4-34;IGLV;IGHV1-46;IGHV4-39;IGHV;IGLV4-60;IGLV2-8;IGKV1-16;IGKV2-29;IGKV1-17;IGKV2-28;IGLV4-3;IGKV1-12;IGLC3;IGLC1;IGLC2;IGHV3-7;IGHV3-9;IGHV3-30;IGHV3-33;IGKV3D-20;IGKV1D-39;IGKV1D-33;IGKV2D-28;IGLV1-36;IGKV4-1;IGHV7-81;IGHE;IGKV2-30;IGLV3-19;IGHV2-70;IGHV2-5;IGKV2D-30;IGHV4-59;IGHV3-48;IGLV3-1;IGHV1-69;IGLV2-11;IGLV3-25;IGLV1-40;IGLV3-27;IGLV1-47;IGLV6-57;IGKC;IGLV2-14;IGKV1-39;IGLV3-21;IGLV1-44;IGKV3-15;IGKV1-33;IGKV3-11;IGHV3-53;IGLC7;IGKV2D-40;IGKV5-2;IGKV1-5;IGLC6;IGHV3-13;IGKV1D-16;IGLV7-43;IGKV1D-12;IGLV1-51;IGLV2-23;IGKV3-20
