Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Sensory Perception of Smell (GO:0007608)	91/214	1.1794853157787998E-4	0.07643064846246624	0	0	1.6986804700630715	15.365010248659026	OR8I2;OR4E2;OR4E1;OR1C1;OR2M5;OR1K1;OR2M2;OR10AG1;OR6Q1;OR2T10;OR2T11;OR5D18;OR5B12;OR8D4;OR5B3;OR5D16;OR5B2;OR5B17;OR8D1;OR5D14;OR5D13;OR8H3;OR8H2;OR8H1;OR4D1;OR5F1;OR2L5;OR2L2;OR2T8;OR2T7;OR10AD1;OR2T6;OR2T3;OR13C9;OR10A2;OR13C3;OR5AK2;OR13C2;OR13C5;OR13C4;OR10A5;OR9I1;OR6K6;OR2G6;OR5M9;OR10H1;OR2C1;OR5M8;OR2G3;OR6K2;OR2G2;OR52D1;OR10H4;OR5M1;OR10P1;OR2T34;OR5M10;OR2S2;OR2AG2;OR10D3;OR8B4;OR5AN1;OR13F1;OR8B3;OR12D3;OR8B2;OR2B6;OR2A25;OR2B3;OR10K2;OR2B2;OR10K1;OR8B12;OR51I2;OR5B21;OR2F2;OR10G4;OR5L2;OR2J2;OR6N2;OR2J1;OR6N1;OR5T3;OR5T2;OR2AJ1;OR2V1;OR2Z1;OR10G8;OR10G7;OR2A5;OR10G9
Detection of Chemical Stimulus Involved in Sensory Perception of Smell (GO:0050911)	57/132	0.0013175483825470765	0.3004314185361121	0	0	1.7411893324498924	11.547537278155286	OR4E2;OR4E1;OR2M5;OR1K1;OR2M2;OR10AG1;OR6Q1;OR2T10;OR2T11;OR2L5;OR2L2;OR2T8;OR2T7;OR10AD1;OR2T6;OR2T3;OR13C9;OR10A2;OR13C3;OR13C2;OR13C5;OR13C4;OR10A5;OR6K6;OR2G6;OR2C1;OR10H1;OR2G3;OR6K2;OR2G2;OR10H4;OR10P1;OR2T34;OR2S2;OR2AG2;OR10D3;OR13F1;OR12D3;OR2B6;OR2A25;OR2B3;OR10K2;OR2B2;OR10K1;OR2F2;OR10G4;OR2J2;OR6N2;OR2J1;OR6N1;OR2AJ1;OR2V1;OR2Z1;OR10G8;OR10G7;OR2A5;OR10G9
Detection of Chemical Stimulus Involved in Sensory Perception (GO:0050907)	58/135	0.0013908861969264448	0.3004314185361121	0	0	1.7257537028908798	11.351687183660903	OR4E2;OR4E1;OR2M5;OR1K1;OR2M2;OR10AG1;OR6Q1;OR2T10;OR2T11;OR2L5;OR2L2;OR2T8;OR2T7;OR10AD1;OR2T6;OR2T3;OR13C9;OR10A2;OR13C3;OR13C2;OR13C5;OR13C4;OR10A5;OR6K6;OR2G6;OR2C1;OR10H1;OR2G3;OR6K2;OR2G2;OR10H4;OR10P1;OR2T34;OR2S2;OR2AG2;OR10D3;OR13F1;OR5AN1;OR12D3;OR2B6;OR2A25;OR2B3;OR10K2;OR2B2;OR10K1;OR2F2;OR10G4;OR2J2;OR6N2;OR2J1;OR6N1;OR2AJ1;OR2V1;OR2Z1;OR10G8;OR10G7;OR2A5;OR10G9
Sensory Perception of Chemical Stimulus (GO:0007606)	37/100	0.09599721003934952	0.9999966048853383	0	0	1.342251258546454	3.1454801216966226	OR8I2;OR9I1;OR5M9;OR5M8;OR1C1;OR52D1;OR5M1;OR2S2;OR5M10;OR5D18;OR8B4;OR5AN1;OR8B3;OR5B12;OR8D4;OR8B2;OR5B3;OR5D16;OR5B2;OR5B17;OR8D1;OR5D14;OR5D13;OR8H3;OR8H2;OR8H1;OR4D1;OR1D4;OR8B12;OR5F1;OR51I2;OR5B21;OR5L2;OR5T3;OR5T2;OR5AK2;OR10A5
Translational Readthrough (GO:0006451)	2/6	0.5899510670082228	0.9999966048853383	0	0	1.1410045961917268	0.6021260195527558	SARS1;SELENOT
Selenocysteine Incorporation (GO:0001514)	2/6	0.5899510670082228	0.9999966048853383	0	0	1.1410045961917268	0.6021260195527558	SARS1;SELENOT
Positive Regulation of Growth Hormone Secretion (GO:0060124)	1/5	0.837531836691164	0.9999966048853383	0	0	0.57040866568193	0.10113117595770202	SELENOT
Type IIa Hypersensitivity (GO:0001794)	1/5	0.837531836691164	0.9999966048853383	0	0	0.57040866568193	0.10113117595770202	FCGR2C
Glycoside Catabolic Process (GO:0016139)	1/5	0.837531836691164	0.9999966048853383	0	0	0.57040866568193	0.10113117595770202	GBA3
Glycosyl Compound Catabolic Process (GO:1901658)	1/5	0.837531836691164	0.9999966048853383	0	0	0.57040866568193	0.10113117595770202	GBA3
Glycosylceramide Catabolic Process (GO:0046477)	1/5	0.837531836691164	0.9999966048853383	0	0	0.57040866568193	0.10113117595770202	GBA3
Glycosylceramide Metabolic Process (GO:0006677)	1/5	0.837531836691164	0.9999966048853383	0	0	0.57040866568193	0.10113117595770202	GBA3
Antibody-Dependent Cellular Cytotoxicity (GO:0001788)	1/5	0.837531836691164	0.9999966048853383	0	0	0.57040866568193	0.10113117595770202	FCGR2C
Regulation of ATPase-coupled Calcium Transmembrane Transporter Activity (GO:1901894)	1/5	0.837531836691164	0.9999966048853383	0	0	0.57040866568193	0.10113117595770202	STRIT1
Diadenosine Polyphosphate Catabolic Process (GO:0015961)	1/5	0.837531836691164	0.9999966048853383	0	0	0.57040866568193	0.10113117595770202	NUDT4B
Positive Regulation of mRNA Splicing, via Spliceosome (GO:0048026)	5/23	0.8746659922083777	0.9999966048853383	0	0	0.6335650809291802	0.08484272022973208	RBMY1F;RBMY1E;RBMY1D;RBMY1C;RBMY1B
Enteroendocrine Cell Differentiation (GO:0035883)	1/6	0.8870478548060966	0.9999966048853383	0	0	0.4562941079927786	0.05468974486155761	PERCC1
Regulation of Growth Hormone Secretion (GO:0060123)	1/6	0.8870478548060966	0.9999966048853383	0	0	0.4562941079927786	0.05468974486155761	SELENOT
Glucan Catabolic Process (GO:0009251)	1/6	0.8870478548060966	0.9999966048853383	0	0	0.4562941079927786	0.05468974486155761	STBD1
Regulation of Muscle Organ Development (GO:0048634)	1/6	0.8870478548060966	0.9999966048853383	0	0	0.4562941079927786	0.05468974486155761	DCANP1
Insulin Secretion Involved in Cellular Response to Glucose Stimulus (GO:0035773)	1/6	0.8870478548060966	0.9999966048853383	0	0	0.4562941079927786	0.05468974486155761	SELENOT
Regulation of Relaxation of Muscle (GO:1901077)	1/6	0.8870478548060966	0.9999966048853383	0	0	0.4562941079927786	0.05468974486155761	DCANP1
Negative Regulation of Axon Regeneration (GO:0048681)	1/6	0.8870478548060966	0.9999966048853383	0	0	0.4562941079927786	0.05468974486155761	FIGNL2
Enamel Mineralization (GO:0070166)	1/6	0.8870478548060966	0.9999966048853383	0	0	0.4562941079927786	0.05468974486155761	AMELY
Skeletal Muscle Tissue Regeneration (GO:0043403)	2/11	0.8931938098637102	0.9999966048853383	0	0	0.5069307653024002	0.05725868631504741	MYMX;HDGFL2
3'-UTR-mediated mRNA Stabilization (GO:0070935)	4/20	0.9009544919851916	0.9999966048853383	0	0	0.5701970443349754	0.05947185449301415	DAZ4;DAZ3;DAZ2;DAZ1
Positive Regulation of Translational Initiation (GO:0045948)	4/20	0.9009544919851916	0.9999966048853383	0	0	0.5701970443349754	0.05947185449301415	DAZ4;DAZ3;DAZ2;DAZ1
Galactosylceramide Metabolic Process (GO:0006681)	1/7	0.92147424888283	0.9999966048853383	0	0	0.3802177362000109	0.031094376440998803	GBA3
Negative Regulation of Neuron Projection Regeneration (GO:0070571)	1/7	0.92147424888283	0.9999966048853383	0	0	0.3802177362000109	0.031094376440998803	FIGNL2
Oligosaccharide Catabolic Process (GO:0009313)	1/7	0.92147424888283	0.9999966048853383	0	0	0.3802177362000109	0.031094376440998803	GBA3
Protein Localization to Golgi Membrane (GO:1903292)	1/7	0.92147424888283	0.9999966048853383	0	0	0.3802177362000109	0.031094376440998803	RAB6D
Regulation of CD4-positive, Alpha-Beta T Cell Activation (GO:2000514)	1/7	0.92147424888283	0.9999966048853383	0	0	0.3802177362000109	0.031094376440998803	HLA-DRB3
Centromeric Sister Chromatid Cohesion (GO:0070601)	1/7	0.92147424888283	0.9999966048853383	0	0	0.3802177362000109	0.031094376440998803	MEIKIN
Positive Regulation of mRNA Processing (GO:0050685)	5/26	0.9335442400908716	0.9999966048853383	0	0	0.5429384760966302	0.03733620973070554	RBMY1F;RBMY1E;RBMY1D;RBMY1C;RBMY1B
MHC Class II Protein Complex Assembly (GO:0002399)	2/13	0.9406110709739657	0.9999966048853383	0	0	0.4147018444457709	0.02539034412525026	HLA-DRB4;HLA-DRB3
Peptide Antigen Assembly With MHC Class II Protein Complex (GO:0002503)	2/13	0.9406110709739657	0.9999966048853383	0	0	0.4147018444457709	0.02539034412525026	HLA-DRB4;HLA-DRB3
Regulation of Defense Response to Bacterium (GO:1900424)	1/8	0.9454089309106115	0.9999966048853383	0	0	0.32587747063374833	0.01829401623478039	SIGLEC16
Positive Regulation of Immune Response to Tumor Cell (GO:0002839)	1/8	0.9454089309106115	0.9999966048853383	0	0	0.32587747063374833	0.01829401623478039	HLA-DRB3
Regulation of Endoplasmic Reticulum Unfolded Protein Response (GO:1900101)	1/8	0.9454089309106115	0.9999966048853383	0	0	0.32587747063374833	0.01829401623478039	PIGBOS1
Regulation of Fertilization (GO:0080154)	1/8	0.9454089309106115	0.9999966048853383	0	0	0.32587747063374833	0.01829401623478039	FAM170B
T Cell Mediated Cytotoxicity (GO:0001913)	1/8	0.9454089309106115	0.9999966048853383	0	0	0.32587747063374833	0.01829401623478039	TRA
Immune Response-Inhibiting Cell Surface Receptor Signaling Pathway (GO:0002767)	1/8	0.9454089309106115	0.9999966048853383	0	0	0.32587747063374833	0.01829401623478039	KIR2DS2
Auditory Behavior (GO:0031223)	1/8	0.9454089309106115	0.9999966048853383	0	0	0.32587747063374833	0.01829401623478039	DCANP1
Learned Vocalization Behavior or Vocal Learning (GO:0098598)	1/8	0.9454089309106115	0.9999966048853383	0	0	0.32587747063374833	0.01829401623478039	DCANP1
Response to Auditory Stimulus (GO:0010996)	1/8	0.9454089309106115	0.9999966048853383	0	0	0.32587747063374833	0.01829401623478039	DCANP1
Positive Regulation of T Cell Mediated Immune Response to Tumor Cell (GO:0002842)	1/8	0.9454089309106115	0.9999966048853383	0	0	0.32587747063374833	0.01829401623478039	HLA-DRB3
Glycolipid Catabolic Process (GO:0019377)	2/14	0.95601371478454	0.9999966048853383	0	0	0.3801159991245349	0.01709876560032997	PNLIPRP2;GBA3
Tooth Mineralization (GO:0034505)	1/9	0.9620489586690234	0.9999966048853383	0	0	0.2851222714590514	0.011031362726911041	AMELY
Formation of Translation Preinitiation Complex (GO:0001731)	1/9	0.9620489586690234	0.9999966048853383	0	0	0.2851222714590514	0.011031362726911041	EIF2S3B
Negative Regulation of Peptidyl-Serine Phosphorylation (GO:0033137)	1/9	0.9620489586690234	0.9999966048853383	0	0	0.2851222714590514	0.011031362726911041	NLRP2B
Glycophagy (GO:0061723)	1/9	0.9620489586690234	0.9999966048853383	0	0	0.2851222714590514	0.011031362726911041	STBD1
Positive Regulation of Sodium Ion Export Across Plasma Membrane (GO:1903278)	1/9	0.9620489586690234	0.9999966048853383	0	0	0.2851222714590514	0.011031362726911041	FXYD6-FXYD2
Regulation of Sodium Ion Export Across Plasma Membrane (GO:1903276)	1/9	0.9620489586690234	0.9999966048853383	0	0	0.2851222714590514	0.011031362726911041	FXYD6-FXYD2
Phosphatidylcholine Catabolic Process (GO:0034638)	1/9	0.9620489586690234	0.9999966048853383	0	0	0.2851222714590514	0.011031362726911041	PNLIPRP2
Regulation of Wound Healing, Spreading of Epidermal Cells (GO:1903689)	1/9	0.9620489586690234	0.9999966048853383	0	0	0.2851222714590514	0.011031362726911041	FIGNL2
Positive Regulation of Acrosome Reaction (GO:2000344)	1/9	0.9620489586690234	0.9999966048853383	0	0	0.2851222714590514	0.011031362726911041	FAM170B
Regulation of Actin Filament Length (GO:0030832)	1/9	0.9620489586690234	0.9999966048853383	0	0	0.2851222714590514	0.011031362726911041	TMSB4Y
Nuclear Membrane Disassembly (GO:0051081)	1/10	0.9736172875932534	0.9999966048853383	0	0	0.2534237832120648	0.006775786903367823	SERPINA2
Plasma Membrane Phospholipid Scrambling (GO:0017121)	1/10	0.9736172875932534	0.9999966048853383	0	0	0.2534237832120648	0.006775786903367823	PLSCR3
Positive Regulation of Defense Response to Bacterium (GO:1900426)	1/10	0.9736172875932534	0.9999966048853383	0	0	0.2534237832120648	0.006775786903367823	SIGLEC16
Antifungal Innate Immune Response (GO:0061760)	2/16	0.9761339170991908	0.9999966048853383	0	0	0.3257668136197355	0.007869057607769996	DEFB136;DEFB106A
Negative Regulation of Intracellular Transport (GO:0032387)	1/11	0.981659532896678	0.9999966048853383	0	0	0.22806499261447563	0.00422165145964696	MRLN
Interleukin-10-Mediated Signaling Pathway (GO:0140105)	1/11	0.981659532896678	0.9999966048853383	0	0	0.22806499261447563	0.00422165145964696	LILRA3
Lipid Import Into Cell (GO:0140354)	1/11	0.981659532896678	0.9999966048853383	0	0	0.22806499261447563	0.00422165145964696	PLPPR4
Regulation of Axon Regeneration (GO:0048679)	1/11	0.981659532896678	0.9999966048853383	0	0	0.22806499261447563	0.00422165145964696	FIGNL2
Peptide Antigen Assembly With MHC Protein Complex (GO:0002501)	2/18	0.9872062763927782	0.9999966048853383	0	0	0.2850049244911359	0.003669799811571908	HLA-DRB4;HLA-DRB3
Glutamine Metabolic Process (GO:0006541)	1/12	0.9872503335020646	0.9999966048853383	0	0	0.20731689121644808	0.0026602159226325026	GLYATL1B
Presynapse Organization (GO:0099172)	1/12	0.9872503335020646	0.9999966048853383	0	0	0.20731689121644808	0.0026602159226325026	NLGN4Y
Positive Regulation of CD4-positive, Alpha-Beta T Cell Activation (GO:2000516)	1/12	0.9872503335020646	0.9999966048853383	0	0	0.20731689121644808	0.0026602159226325026	HLA-DRB3
Regulation of T Cell Mediated Immune Response to Tumor Cell (GO:0002840)	1/12	0.9872503335020646	0.9999966048853383	0	0	0.20731689121644808	0.0026602159226325026	HLA-DRB3
Negative Regulation of Inflammasome-Mediated Signaling Pathway (GO:0141086)	2/19	0.990668294382821	0.9999966048853383	0	0	0.26822061720288903	0.002514707429114436	NLRP2B;PYDC5
Negative Regulation of Secretion (GO:0051048)	1/13	0.9911368500442745	0.9999966048853383	0	0	0.1900268067180918	0.001691744299252292	DCANP1
Programmed Necrotic Cell Death (GO:0097300)	1/13	0.9911368500442745	0.9999966048853383	0	0	0.1900268067180918	0.001691744299252292	ATG9B
Lipid Droplet Formation (GO:0140042)	1/13	0.9911368500442745	0.9999966048853383	0	0	0.1900268067180918	0.001691744299252292	SMIM22
Regulation of Sensory Perception (GO:0051931)	1/13	0.9911368500442745	0.9999966048853383	0	0	0.1900268067180918	0.001691744299252292	SMR3A
Cardiocyte Differentiation (GO:0035051)	1/13	0.9911368500442745	0.9999966048853383	0	0	0.1900268067180918	0.001691744299252292	EEF1AKMT4-ECE2
Protein Localization to Phagophore Assembly Site (GO:0034497)	1/13	0.9911368500442745	0.9999966048853383	0	0	0.1900268067180918	0.001691744299252292	ATG9B
Mitotic G1 DNA Damage Checkpoint Signaling (GO:0031571)	1/13	0.9911368500442745	0.9999966048853383	0	0	0.1900268067180918	0.001691744299252292	CDPF1
